master_game_id,primary_area,encoded_attribute
9,Attention,Attention_Field_of_View
10,Memory,Memory_Working_Memory
11,Memory,Memory_Working_Memory
12,Math,Math_Numerical_Calculation
6,Memory,Memory_Information_Processing
7,Memory,Memory_Information_Processing
2,Flexibility,Flexibility_Response_Inhibition
1,Attention,Attention_Selective_Attention
5,Math,Math_Math
76,Language,Language_Verbal_Fluency
14,Memory,Memory_Spatial_Recall
15,Memory,Memory_Face-Name_Recall
16,Attention,Attention_Field_of_View
107,Attention,Attention_Spatial_Orientation
18,Reasoning,Reasoning_Logical_Reasoning
4,Memory,Memory_Spatial_Recall
3,Flexibility,Flexibility_Task_Switching
19,Memory,Memory_Working_Memory
20,Memory,Memory_Divided_Attention
22,Memory,Memory_Face-Name_Recall
23,Attention,Attention_Field_of_View
8,Flexibility,Flexibility_Task_Switching
24,Flexibility,Flexibility_Task_Switching
25,Memory,Memory_Working_Memory
27,Math,Math_Numerical_Calculation
28,Reasoning,Reasoning_Logical_Reasoning
29,Reasoning,Reasoning_Planning
31,Math,Math_Numerical_Calculation
32,Math,Math_Numerical_Calculation
33,Math,Math_Numerical_Calculation
37,Memory,Memory_Working_Memory
38,Flexibility,Flexibility_Task_Switching
40,Memory,Memory_Working_Memory
45,Memory,Memory_Working_Memory
46,Attention,Attention_Field_of_View
47,Memory,Memory_Field_of_View
60,Memory,Memory_Working_Memory
49,Memory,Memory_Working_Memory
50,Memory,Memory_Working_Memory
51,Attention,Attention_Visualization
108,Memory,Memory_Spatial_Recall
52,Flexibility,Flexibility_Task_Switching
53,Memory,Memory_Information_Processing
54,Flexibility,Flexibility_Response_Inhibition
56,Attention,Attention_Divided_Attention
57,Attention,Attention_Selective_Attention
58,Attention,Attention_Timing
55,Reasoning,Reasoning_Planning
59,Memory,Memory_Working_Memory
61,Attention,Attention_Divided_Attention
62,Attention,Attention_Information_Processing
65,Memory,Memory_Information_Processing
69,Attention,Attention_Attentional_Deployment
70,Language,Language_Vocabulary_Proficiency
71,Attention,Attention_Information_Processing
72,Reasoning,Reasoning_Logical_Reasoning
73,Language,Language_Vocabulary_Proficiency
74,Language,Language_Vocabulary_Proficiency
75,Language,Language_Reading_Comprehension
77,Reasoning,Reasoning_Logical_Reasoning
78,Reasoning,Reasoning_Spatial_Reasoning
80,Mindfulness,Mindfulness_Breath_Awareness
81,Reasoning,Reasoning_Planning
82,Language,Language_Vocabulary_Proficiency
83,Math,Math_Math
84,Math,Math_Math
85,Math,Math_Math
87,Mindfulness,Mindfulness_Breath_Awareness
88,Mindfulness,Mindfulness_Mindfulness
89,Mindfulness,Mindfulness_Mindfulness
90,Math,Math_Math
91,Mindfulness,Mindfulness_Mindfulness
92,Mindfulness,Mindfulness_Mindfulness
93,Mindfulness,Mindfulness_Mindfulness
94,Mindfulness,Mindfulness_Mindfulness
95,Mindfulness,Mindfulness_Mindfulness
97,Attention,Attention_Timing
98,Mindfulness,Mindfulness_Mindfulness
99,Attention,Attention_Divided_Attention
100,Attention,Attention_Selective_Attention
102,Memory,Memory_Information_Processing
103,Mindfulness,Mindfulness_Mindfulness
104,Memory,Memory_Working_Memory
105,Attention,Attention_Field_of_View
106,Flexibility,Flexibility_Flexibility
